Symbol,Market Cap,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
POLICYBZR.NS,,Insurance Brokers,Financial Services,,,,,,,86400,2,1724.95,1725.0,1672.3,1752.9,1724.95,1725.0,1672.3,1752.9,,,,,,0.566,387.77777,102.6138,625706,625706,1548745,812893,812893,799958564864,725.25,1966.5,19.331167,1708.449,1439.128,,,751415132160,0.050619997,330617226,456436000,0.27894,0.44654,458428992,134.994,12.9265,,4.5,,1.1002612,,,NSI,EQUITY,POLICYBZR.NS,PB FINTECH LIMITED,PB Fintech Limited,1745.0,2000.0,1220.0,1647.0526,1604.0,2.73684,hold,19,34317199360,75.854,-1156999936,3345600000,5.921,6.053,41381801984,5.473,91.892,-0.0155,0.03542,1369198976,-182100000,,0.438,0.56315,-0.02796,-0.03185
PRESTIGE.NS,,Real Estate - Diversified,Real Estate,8351,,,,,,86400,2,1649.85,1640.0,1598.05,1651.9,1649.85,1640.0,1598.05,1651.9,1.8,0.0011,1727049600,0.1066,0.81,0.711,96.27359,46.93416,441917,441917,1338154,619457,619457,703469060096,925.05,2074.8,8.656695,1733.481,1600.1226,,,738426355712,0.083809994,146431864,430729984,0.63686,0.25474,430836000,404.758,4.0340157,-0.774,16.96,12.29,0.76320195,1.8,1727049600,NSI,EQUITY,PRESTIGE.NS,PRESTIGE ESTATE LTD,Prestige Estates Projects Limited,1632.8,2380.0,1465.0,1917.1177,1890.0,,none,17,58374000640,142.746,24632999936,123514003456,0.229,1.333,81263001600,71.889,201.708,0.02668,0.06592,-33329874944,13313000448,-0.779,0.03,0.71547997,0.30313,0.18699
BHARTIHEXA.NS,,Telecom Services,Communication Services,424,,,,,,86400,2,1366.4,1366.35,1305.8,1371.2,1366.4,1366.35,1305.8,1371.2,4.0,0.003,1723766400,,,,157.4618,36.734833,582698,582698,484015,549771,549771,670000021504,755.0,1568.0,8.727595,1422.369,1176.0513,4.0,0.0029274004,748506972160,0.15626,75000000,500000000,0.85,0.10026,500072992,104.054,12.877929,,8.51,,0.6343907,4.0,1723766400,NSI,EQUITY,BHARTIHEXA.NS,BHARTI HEXACOM LIMITED,,1340.0,1780.0,1325.0,1525.7273,1512.0,1.90909,buy,11,1247000064,2.494,32775000064,85129003008,0.066,0.298,76768002048,163.625,153.667,0.05618,0.25507,4038000128,39054000128,,0.207,0.54249,0.42694,0.24547
ALKEM.NS,,Drug Manufacturers - Specialty & Generic,Healthcare,17432,,,,,,86400,2,5604.75,5605.15,5511.5,5622.8,5604.75,5605.15,5511.5,5622.8,10.0,0.0018000001,1723161600,0.2619,0.88,0.411,31.575893,26.733654,108563,108563,216039,339632,339632,670317215744,4407.05,6439.9,5.2649546,5986.662,5411.744,,,641630797824,0.16135,32460702,119565000,0.67813003,0.21503,119565000,862.465,6.5003214,0.901,177.55,213.95,0.22500992,5.0,1723161600,NSI,EQUITY,ALKEM.NS,ALKEM LABORATORIES LTD.,Alkem Laboratories Limited,5606.3,7225.0,4330.0,5775.2856,6097.0,2.85,hold,21,42697199616,357.105,24355500032,14184099840,,,127316803584,13.238,1064.873,,,,,0.902,0.022,0.61187,0.19129999,0.17421
OBEROIRLTY.NS,,Real Estate - Development,Real Estate,1012,5,9,8,10,10,86400,2,1917.35,1928.6,1891.15,1961.9,1917.35,1928.6,1891.15,1961.9,12.0,0.0062,1730678400,0.1566,0.79,0.661,30.241823,23.982187,630456,630456,1007611,1284860,1284860,702533599232,1268.15,2089.9,13.792869,1922.728,1708.3938,12.0,0.006258638,355805331456,0.45591,58220381,363601984,0.67705,0.22354001,363952992,814.019,2.3735933,0.29,63.89,33.46,0.3970647,2.0,1730678400,NSI,EQUITY,OBEROIRLTY.NS,OBEROI REALTY LIMITED,Oberoi Realty Limited,1932.15,2688.0,1175.0,1938.8636,1965.0,,none,22,18052300800,99.29,29268619264,20802699264,0.654,4.391,50934554624,14.056,140.084,0.09229,0.16801001,15370499072,28446846976,0.291,0.084,0.63123,0.57463,0.60077
KALYANKJIL.NS,,Luxury Goods,Consumer Cyclical,11177,,,,,,86400,2,711.75,714.0,683.8,714.25,711.75,714.0,683.8,714.25,1.2,0.0017,1723161600,0.0817,,0.25,116.62006,62.830025,5902907,5902907,7723176,6536483,6536483,731909783552,304.1,786.25,3.7137656,705.778,526.00226,,,733672701952,0.03203,361816437,1031440000,0.63612,0.21955,1032240000,40.668,17.435083,0.235,6.08,,1.1459599,1.2,1723161600,NSI,EQUITY,KALYANKJIL.NS,KALYAN JEWELLERS IND LTD,Kalyan Jewellers India Limited,709.05,810.0,624.0,747.375,755.0,1.375,strong_buy,8,1777080064,1.725,12157437952,44863578112,,,197080236032,107.13,191.341,,,,,0.229,0.265,0.14178,0.061690003,0.0543
INDIANB.NS,,Banks - Regional,Financial Services,40251,,,,,,86400,2,530.35,530.35,525.3,536.95,530.35,530.35,525.3,536.95,12.0,0.0226,1717718400,0.1612,2.18,0.918,7.155335,6.626431,871025,871025,1648281,1018441,1018441,717394608128,390.9,632.7,2.519215,534.365,539.4393,12.0,0.022626568,984792170496,0.34664002,352406186,1346960000,0.73836,0.19138001,1347219968,491.637,1.0831162,0.354,74.42,80.63,0.30230284,12.0,1717718400,NSI,EQUITY,INDIANB.NS,INDIAN BANK,Indian Bank,532.5,700.0,580.0,650.0,655.0,,none,11,65730600960,48.799,,334162886656,,,284769091584,,214.782,0.01268,0.16504,,-529248387072,0.252,0.211,,,0.47599
SBICARD.NS,,Credit Services,Financial Services,3829,,,,,,86400,2,675.05,676.35,674.3,683.8,675.05,676.35,674.3,683.8,2.5,0.0037,1711584000,0.1075,,0.379,29.27527,21.015955,619554,619554,2005906,684113,684113,647533690880,647.95,817.4,6.084699,726.052,723.19775,,,1061441830912,0.2077,298756949,951345984,0.68601,0.21661,958156032,137.557,4.9481306,-0.329,23.25,32.74,-0.08043021,2.5,1711584000,NSI,EQUITY,SBICARD.NS,SBI CARDS & PAY SER LTD,SBI Cards and Payment Services Limited,680.65,960.0,549.0,692.0417,687.0,3.33333,hold,24,17524600832,18.416,,432179904512,20.658,20.658,106420002816,330.17,111.95,0.03938,0.18306999,,-73810100224,-0.331,-0.117,0.56315,,0.22517
PIIND.NS,,Agricultural Inputs,Basic Materials,3545,3,4,5,5,3,86400,2,4138.7,4138.7,4091.7,4181.0,4138.7,4138.7,4091.7,4181.0,18.0,0.0044,1724112000,0.1282,0.22,0.679,35.280987,32.878334,203652,203652,241024,394155,394155,625721081856,3220.0,4804.05,7.892148,4521.271,4043.4128,,,586984587264,0.22389,80917694,151700992,0.46220002,0.34295,151700992,629.41,6.553281,0.058,116.91,131.42,0.093254566,9.0,1724112000,NSI,EQUITY,PIIND.NS,PI INDUSTRIES LTD,PI Industries Limited,4124.7,5700.0,2830.0,4553.852,4647.0,2.25926,buy,27,39075000320,257.655,21899999232,1744000000,2.727,3.457,79284002816,1.827,522.748,0.107700005,0.20255,10864624640,21667999744,0.058,0.049,0.52654,0.27622,0.24691999
SRF.NS,,Specialty Chemicals,Basic Materials,7372,,,,,,86400,2,2143.65,2135.5,2126.85,2182.2,2143.65,2135.5,2126.85,2182.2,7.2,0.0033000002,1722384000,0.189,0.32,0.585,57.000263,36.009346,357851,357851,602924,281689,281689,643242262528,2089.1,2693.95,4.760808,2318.45,2421.7512,7.2,0.0033587574,688062267392,0.083579995,145313109,296424992,0.50976,0.25469,303863008,404.437,5.3654833,-0.33,38.07,59.04,-0.083135545,3.6,1722384000,NSI,EQUITY,SRF.NS,SRF LTD,SRF Limited,2170.0,2770.0,1500.0,2245.3928,2296.5,,none,28,6113200128,20.608,23680000000,52464398336,0.46,1.034,135111999488,43.73,455.727,0.051170003,0.098850004,-7349550080,17085100032,-0.331,0.078,0.45464,0.17525999,0.10709
BHARATFORG.NS,,Auto Parts,Consumer Cyclical,3778,2,7,5,1,5,86400,2,1296.2,1299.0,1296.35,1326.7,1296.2,1299.0,1296.35,1326.7,9.0,0.0068,1720137600,0.4502,0.8,1.047,64.52206,32.721287,325496,325496,991106,924508,924508,612831526912,1063.0,1804.5,3.8516343,1464.505,1439.1598,,,671075860480,0.058480002,244666826,465588992,0.47766,0.36291,465804000,154.003,8.546911,-0.092,20.4,,0.17982161,6.5,1720137600,NSI,EQUITY,BHARATFORG.NS,BHARAT FORGE LTD,Bharat Forge Limited,1316.25,1859.0,920.0,1446.4,1501.0,2.84,hold,25,27018708992,58.031,26566211584,79492407296,,,159109480448,110.941,341.788,,,,,-0.092,0.059,0.52206004,0.16697,0.12729
LINDEINDIA.NS,,Specialty Chemicals,Basic Materials,269,,,,,,86400,2,6369.35,6436.65,6400.05,6536.35,6369.35,6436.65,6400.05,6536.35,4.0,0.00059999997,1722816000,0.0766,0.27,0.335,125.4804,78.37724,35659,35659,71276,57999,57999,557192445952,5325.0,9935.05,21.234833,7882.205,7695.67,4.0,0.0006280076,545158791168,0.16982001,18391397,85284200,0.77373004,0.080649994,85328096,420.57,15.526547,-0.021,52.04,,0.096604824,8.0,1722816000,NSI,EQUITY,LINDEINDIA.NS,LINDE INDIA LIMITED,Linde India Limited,6530.0,8579.0,7201.0,7890.0,7890.0,,none,2,9979790336,117.03,7275200000,424790016,1.336,1.746,26239549440,1.184,307.676,0.06949,0.13043,1845837440,7261280256,-0.021,-0.108,0.50527,0.27726,0.20035
IRCTC.NS,,Railroads,Industrials,1407,,,,,,86400,2,793.85,793.0,791.55,810.45,793.85,793.0,791.55,810.45,8.0,0.0099,1731542400,0.4336,,0.41,54.000668,40.544544,704780,704780,1485172,934081,934081,646839795712,692.8,1138.9,14.507197,859.876,952.7105,8.0,0.010077471,622814625792,0.26908,293863426,800000000,0.62397,0.17148,800692992,44.06,18.335224,0.045,14.96,20.56,0.16714776,4.0,1731542400,NSI,EQUITY,IRCTC.NS,INDIAN RAIL TOUR CORP LTD,Indian Railway Catering & Tourism Corporation Limited,807.85,1200.0,550.0,834.5714,833.0,,none,7,24205819904,30.271,14750702592,423379008,1.401,1.918,44587507712,1.202,55.701,0.14653,0.37674,6820101120,9480977408,0.046,0.069,0.38107,0.33083,0.33806
THERMAX.NS,,Conglomerates,Industrials,5225,8,3,10,8,8,86400,2,4368.75,4368.75,4329.0,4535.0,4368.75,4368.75,4329.0,4535.0,12.0,0.0023999999,1720137600,0.353,0.74,0.402,67.83191,54.69162,151009,151009,102342,101947,101947,504099078144,2500.25,5839.95,5.2647915,5069.395,4711.4736,,,552929918976,0.07334,32509105,112634000,0.73689,0.21465,112634000,394.226,11.352751,0.932,65.98,80.38,0.70939493,12.0,1720137600,NSI,EQUITY,THERMAX.NS,THERMAX LTD,Thermax Limited,4475.55,6100.0,2400.0,4405.9473,4650.0,3.5,hold,19,23381700608,207.614,8336150016,12774299648,,,95749103616,28.772,850.05,,,,,0.966,0.13,0.43905997,0.087060004,0.04812
NMDC.NS,,Steel,Basic Materials,5630,,,,,,86400,2,217.63,219.0,218.31,222.3,217.63,219.0,218.31,222.3,7.25,0.0328,1726531200,0.3496,6.45,0.932,10.651231,8.765769,8459522,8459522,12634248,14322180,14322180,647078674432,173.2,286.35,2.9105327,226.3702,235.3564,,,546033238016,0.27343,1135910013,2930609920,0.60796,0.21481001,2930880000,96.798,2.281039,0.181,20.73,25.79,0.27465355,1.5,1726531200,NSI,EQUITY,NMDC.NS,NMDC LTD.,NMDC Limited,220.8,325.0,180.0,242.63158,245.0,2.78947,hold,19,142644707328,48.673,78289600512,41577299968,1.901,2.367,222323097600,14.651,75.864,0.12855,0.22945999,-4857399808,44584800256,0.18,0.225,0.53554,0.35214,0.26073
ASHOKLEY.NS,,Farm & Heavy Construction Machinery,Industrials,9607,2,6,8,1,6,86400,2,218.9,219.33,219.21,224.89,218.9,219.33,219.21,224.89,6.95,0.031,1731974400,0.5537,2.15,0.836,25.042507,19.401356,6142077,6142077,8911976,8858905,8858905,658110939136,157.55,264.65,1.41433,223.988,215.4913,,,1076265025536,0.05649,1688273101,2936430080,0.40956002,0.23152,2988829952,35.071,6.383622,0.341,8.94,7.75,0.2571429,2.0,1731974400,NSI,EQUITY,ASHOKLEY.NS,ASHOK LEYLAND LTD,Ashok Leyland Limited,223.88,325.0,160.0,251.02632,253.5,1.94595,buy,38,55195299840,18.773,84841897984,442977714176,0.413,1.145,465316413440,332.769,158.614,0.07393,0.23315,26655074304,-54854701056,0.341,-0.025,0.37879002,0.18233,0.18613
BERGEPAINT.NS,,Specialty Chemicals,Basic Materials,4445,,,,,,86400,2,465.5,465.5,465.5,477.6,465.5,465.5,465.5,477.6,3.5,0.0073,1722816000,0.35639998,0.44,0.436,48.685013,41.90591,410464,410464,1265808,756041,756041,556786057216,439.0,629.5,4.9413867,554.901,540.019,,,558729461760,0.101610005,275835331,1165799936,0.76369005,0.13538,1180909952,47.895,9.971813,-0.075,9.81,,-0.16964519,3.5,1722816000,NSI,EQUITY,BERGEPAINT.NS,BERGER PAINTS (I) LTD,Berger Paints India Limited,477.6,650.0,420.0,528.7619,513.0,3.57143,underperform,21,5299700224,4.54,17040700416,7965199872,0.83,1.801,112678100992,14.219,96.707,0.105340004,0.2194,9106599936,15121500160,-0.076,0.003,0.39353,0.15123,0.12441
