Symbol,Market Cap,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
RELIANCE.NS,,Oil & Gas Refining & Marketing,Energy,347362,9,10,7,1,9,86400,2,1260.75,1260.75,1235.15,1281.5,1260.75,1260.75,1235.15,1281.5,5.0,0.004,1724025600,0.0996,0.44,0.635,24.66906,19.376638,14177979,14177979,15916773,13981095,13981095,16744991162368,1184.95,1608.8,1.8103907,1378.1165,1454.1171,10.0,0.007931787,19577897484288,0.07343,6178648529,13532399616,0.49667,0.27853,13532399616,605.573,2.043354,-0.048,50.16,71.85,0.03665209,5.0,1724025600,NSI,EQUITY,RELIANCE.NS,RELIANCE INDUSTRIES LTD,Reliance Industries Limited,1237.4,1950.0,1300.0,1616.4445,1640.0,1.94595,buy,36,2147900063744,158.729,1562509967360,3575249895424,0.553,1.081,9249379844096,37.464,683.526,0.03875,0.08479,-416127483904,1797530058752,-0.048,-0.002,0.34339002,0.16893,0.11306
TCS.NS,,Information Technology Services,Technology,612724,1,6,1,8,3,86400,2,4019.5,4019.9,4014.1,4132.15,4019.5,4019.9,4014.1,4132.15,40.0,0.0099,1729209600,0.42810002,1.28,0.518,30.883251,26.102531,1775965,1775965,2184283,2241439,2241439,14624319602688,3433.0,4592.25,5.8804946,4193.754,4088.9065,57.0,0.014180868,14237165420544,0.19076,1002644413,3618089984,0.71783996,0.16338,3618089984,280.521,14.408904,0.05,130.88,154.68,0.151443,10.0,1729209600,NSI,EQUITY,TCS.NS,TATA CONSULTANCY SERV LT,Tata Consultancy Services Limited,4042.0,5710.0,3050.0,4494.2666,4500.0,2.27273,buy,45,477630005248,132.012,651870011392,90469998592,2.362,2.618,2486920019968,8.836,685.788,0.24511999,0.46772,306369986560,443359985664,0.062,0.077,0.39264,0.26212,0.24067
HDFCBANK.NS,,Banks - Regional,Financial Services,206758,,,,,,86400,2,1705.1,1714.0,1702.7,1753.75,1705.1,1714.0,1702.7,1753.75,19.5,0.0112,1715299200,0.2152,0.67,0.833,19.653572,15.611511,25489818,25489818,18631576,14638073,14638073,13268109230080,1363.55,1794.0,4.8054385,1711.258,1589.8315,,,17423334899712,0.25056,7578068585,7642919936,0.01672,0.51730996,7642919936,632.437,2.7449374,0.398,88.33,96.36,0.14523768,19.5,1715299200,NSI,EQUITY,HDFCBANK.NS,HDFC BANK LTD,HDFC Bank Limited,1736.0,2550.0,1545.0,1935.1025,1950.0,1.475,strong_buy,40,2663853850624,349.683,,6660388552704,,,2761061040128,,363.255,0.01712,0.1153,,-1467762343936,0.39,0.63,,,0.32936
BHARTIARTL.NS,,Telecom Services,Communication Services,24893,6,6,6,5,6,86400,2,1537.0,1537.0,1519.3,1558.0,1537.0,1537.0,1519.3,1558.0,8.0,0.0052,1722988800,0.3868,0.8,0.291,73.46024,31.93415,6238134,6238134,5920486,5004834,5004834,9109552234496,960.0,1779.0,5.8590508,1652.466,1426.1157,8.0,0.005204945,11189136392192,0.0789,2563438641,5690549760,0.55315,0.31395,5976220160,150.527,10.126423,1.68,20.75,,0.561972,8.0,1722988800,NSI,EQUITY,BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Bharti Airtel Limited,1524.3,2070.0,1120.0,1776.5278,1836.0,1.63889,buy,36,125100998656,21.621,722990989312,2255408070656,0.118,0.359,1554783010816,204.474,270.184,0.0544,0.12929,39372623872,856934973440,1.597,0.12,0.63526,0.46501,0.26152
ICICIBANK.NS,,Banks - Regional,Financial Services,187765,2,1,7,1,1,86400,2,1253.45,1257.05,1240.85,1261.0,1253.45,1257.05,1240.85,1261.0,10.0,0.008,1723420800,0.1512,0.99,0.829,18.825665,16.9186,11536911,11536911,13683071,10501818,10501818,8776420163584,918.5,1362.35,5.3563447,1270.898,1174.1758,,,9512342781952,0.28909,7019272418,7055000064,0.02224,0.54559,7055000064,397.441,3.1300242,0.188,66.08,37.94,0.3533044,10.0,1723420800,NSI,EQUITY,ICICIBANK.NS,ICICI BANK LTD.,ICICI Bank Limited,1244.0,1650.0,1170.0,1465.45,1465.0,1.325,strong_buy,40,1643846303744,233.261,,2197605449728,,,1638509182976,,233.246,0.02158,0.18731001,,-23252623360,0.182,0.274,,,0.37491
INFY.NS,,Information Technology Services,Technology,317788,7,5,4,1,3,86400,2,1811.45,1825.5,1820.55,1859.7,1811.45,1825.5,1820.55,1859.7,41.0,0.0225,1730160000,0.5924,2.14,0.626,28.055727,25.255209,4669537,4669537,5799729,5119782,5119782,7548813443072,1358.35,1991.45,400.7652,1880.673,1680.72,0.49,0.00027050154,7555561553920,0.17159,3509357129,4142010112,0.15788999,0.50375,4142010112,2.605,699.6161,0.035,64.96,72.32,0.25909948,21.0,1730160000,NSI,EQUITY,INFY.NS,INFOSYS LIMITED,Infosys Limited,1822.5,2330.0,1530.0,2029.0,2110.0,2.09302,buy,43,3488000000,0.842,4337999872,1051000000,1.891,2.193,18836000768,9.697,4.55,0.15253,0.31404,2286749952,3671000064,0.042,0.037,0.29518,0.23030001,0.21945
SBIN.NS,,Banks - Regional,Financial Services,232296,6,8,1,4,5,86400,2,814.3,819.0,800.1,820.3,814.3,819.0,800.1,820.3,13.7,0.0171,1716336000,0.1709,1.39,0.76,10.002493,9.634328,13672647,13672647,14326480,14068346,14068346,7161115049984,558.3,912.0,2.1311085,804.864,806.48376,13.7,0.016824266,9860988010496,0.21295,3749854196,8924619776,0.58239,0.27128,8924619776,518.846,1.546509,0.229,80.22,82.67,0.43405664,13.7,1716336000,NSI,EQUITY,SBIN.NS,STATE BANK OF INDIA,State Bank of India,802.4,1102.0,690.0,958.0244,990.0,1.85366,buy,41,3549721001984,397.745,,6066625052672,,,3360276873216,,376.517,0.01121,0.16746001,,-4326515802112,0.229,0.05,,,0.32476002
ITC.NS,,Tobacco,Consumer Defensive,37312,3,6,8,5,7,86400,2,466.55,468.0,466.25,473.75,466.55,468.0,466.25,473.75,15.0,0.0321,1717459200,0.83739996,4.03,0.241,28.451221,24.565948,6853391,6853391,11144760,8290240,8290240,5837539508224,399.35,528.5,7.7693734,494.904,457.96725,7.5,0.016075447,5665471332352,0.27337998,9137953176,12510799872,0.28083,0.46490002,12677499904,60.148,7.7575316,0.019,16.4,18.95,0.06131482,7.5,1717459200,NSI,EQUITY,ITC.NS,ITC LTD,ITC Limited,466.6,595.0,420.0,541.2,540.0,1.6,buy,35,190998691840,15.263,264712994816,3043399936,1.667,3.052,751352676352,0.402,60.164,0.17,0.28645,96529309696,161626603520,0.018,0.167,0.58748,0.35232,0.301
HINDUNILVR.NS,,Household & Personal Products,Consumer Defensive,19427,4,4,4,8,3,86400,2,2422.9,2431.9,2405.1,2440.2,2422.9,2431.9,2405.1,2440.2,43.0,0.0178,1730851200,0.96089995,1.43,0.147,55.223465,47.27432,1133325,1133325,1721189,1472809,1472809,5662162026496,2172.05,3035.0,9.072524,2717.305,2537.2346,43.0,0.017747328,5551647883264,0.16452,873352575,2349590016,0.62259,0.1865,2350030080,216.156,11.146579,-0.024,43.63,,-0.04347396,19.0,1730851200,NSI,EQUITY,HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Hindustan Unilever Limited,2409.4,3400.0,2110.0,2878.282,2900.0,2.20513,buy,39,128999997440,54.916,142339997696,16510000128,1.157,1.644,624099983360,3.238,265.67,0.10564999,0.20233999,74808745984,117009997824,-0.024,0.019,0.51583,0.22806999,0.21694
LICI.NS,,Insurance - Life,Financial Services,98661,,,,,,86400,2,901.75,910.0,894.0,916.65,901.75,910.0,894.0,916.65,13.0,0.0143,1721347200,0.1523,,0.522,13.661435,12.61663,776039,776039,1157318,1116624,1116624,5672259289088,608.0,1222.0,0.6538218,958.71,1003.714,,,5310828249088,0.05431,221374920,6325000192,0.965,0.0108,6326410240,130.825,6.8534303,0.6,65.63,60.52,0.4515946,6.0,1721347200,NSI,EQUITY,LICI.NS,LIFE INSURA CORP OF INDIA,Life Insurance Corporation of India,896.6,1385.0,870.0,1162.3889,1196.5,1.83333,buy,18,437919514624,69.236,515563913216,11200000,,,8675542958080,0.001,1254.09,,,,,0.095,0.101,0.10604999,0.05943,0.06021
