Symbol,Market Cap,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
RELIANCE.NS,,Oil & Gas Refining & Marketing,Energy,347362,9,10,7,1,9,86400,2,1223.0,1229.4,1222.45,1268.85,1223.0,1229.4,1222.45,1268.85,5.0,0.0041,1724025600,0.0996,0.44,0.635,25.237337,19.84394,20467050,20467050,16242747,14335508,14335508,17123898294272,1184.95,1608.8,1.8513564,1364.639,1450.7415,10.0,0.0081766145,19899279736832,0.07343,6178648529,13532399616,0.49667,0.27769,13532399616,605.573,2.0895913,-0.048,50.14,71.85,0.05718696,5.0,1724025600,NSI,EQUITY,RELIANCE.NS,RELIANCE INDUSTRIES LTD,Reliance Industries Limited,1265.4,1950.0,1300.0,1609.0834,1628.75,1.89189,buy,36,2147900063744,158.729,1562509967360,3575249895424,0.553,1.081,9249379844096,37.464,683.526,0.03875,0.08479,-416127483904,1797530058752,-0.048,-0.002,0.34339002,0.16893,0.11306
TCS.NS,,Information Technology Services,Technology,612724,1,6,1,8,3,86400,2,4072.85,4071.0,4054.0,4254.95,4072.85,4071.0,4054.0,4254.95,40.0,0.0098,1729209600,0.42810002,1.28,0.518,32.46596,27.410889,3094218,3094218,2213989,2061181,2061181,15357345529856,3433.0,4592.25,6.175247,4170.501,4089.015,57.0,0.013995114,14979053912064,0.19076,1002644413,3618089984,0.71783996,0.16341999,3618089984,280.521,15.131131,0.05,130.74,154.68,0.22779202,10.0,1729209600,NSI,EQUITY,TCS.NS,TATA CONSULTANCY SERV LT,Tata Consultancy Services Limited,4244.6,5710.0,3050.0,4494.2666,4500.0,2.27273,buy,45,477630005248,132.012,651870011392,90469998592,2.362,2.618,2486920019968,8.836,685.788,0.24511999,0.46772,306369986560,443359985664,0.062,0.077,0.39264,0.26212,0.24067
HDFCBANK.NS,,Banks - Regional,Financial Services,206758,,,,,,86400,2,1741.2,1743.55,1729.55,1754.3,1741.2,1743.55,1729.55,1754.3,19.5,0.0112,1715299200,0.2152,0.67,0.833,19.773449,15.697842,12386625,12386625,18783642,16086818,16086818,13341481238528,1363.55,1794.0,4.8320127,1716.31,1594.7216,,,17448855142400,0.25056,7578068585,7642919936,0.01672,0.51735,7642919936,632.437,2.7601168,0.398,88.28,96.36,0.13935125,19.5,1715299200,NSI,EQUITY,HDFCBANK.NS,HDFC BANK LTD,HDFC Bank Limited,1745.6,2550.0,1545.0,1936.4525,1950.0,1.475,strong_buy,40,2663853850624,349.683,,6660388552704,,,2761061040128,,363.255,0.01712,0.1153,,-1467762343936,0.39,0.63,,,0.32936
BHARTIARTL.NS,,Telecom Services,Communication Services,24893,6,6,6,5,6,86400,2,1525.15,1533.0,1520.2,1575.0,1525.15,1533.0,1520.2,1575.0,8.0,0.0052,1722988800,0.3868,0.8,0.291,75.66538,32.78943,7640033,7640033,5952382,5643925,5643925,9378011807744,960.0,1779.0,6.0317173,1647.685,1432.301,8.0,0.0052453857,11442569871360,0.0789,2563438641,5690549760,0.55315,0.31396,5975920128,150.527,10.425373,1.68,20.74,,0.6125983,8.0,1722988800,NSI,EQUITY,BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Bharti Airtel Limited,1569.3,2070.0,1120.0,1776.5278,1836.0,1.63889,buy,36,125100998656,21.621,722990989312,2255408070656,0.118,0.359,1554783010816,204.474,270.184,0.0544,0.12929,39372623872,856934973440,1.597,0.12,0.63526,0.46501,0.26152
ICICIBANK.NS,,Banks - Regional,Financial Services,187765,2,1,7,1,1,86400,2,1250.55,1258.0,1256.0,1281.4,1250.55,1258.0,1256.0,1281.4,10.0,0.008,1723420800,0.1512,0.99,0.829,19.320484,17.381687,11604047,11604047,13765584,10321540,10321540,9017768280064,921.7,1362.35,5.503642,1271.675,1177.646,,,9716361068544,0.28909,7019272418,7055880192,0.02163,0.54527,7055880192,397.441,3.2156975,0.188,66.15,37.94,0.37513447,10.0,1723420800,NSI,EQUITY,ICICIBANK.NS,ICICI BANK LTD.,ICICI Bank Limited,1278.05,1650.0,1170.0,1465.225,1465.0,1.325,strong_buy,40,1643846303744,233.261,,2197605449728,,,1638509182976,,233.246,0.02158,0.18731001,,-23252623360,0.182,0.274,,,0.37491
INFY.NS,,Information Technology Services,Technology,317788,7,5,4,1,3,86400,2,1834.05,1854.1,1834.0,1914.05,1834.05,1854.1,1834.0,1914.05,41.0,0.0224,1730160000,0.5924,2.14,0.626,29.296934,26.360342,6299633,6299633,5838789,4829076,4829076,7879138476032,1358.35,1991.45,418.3021,1875.8,1683.1365,0.49,0.00026716827,7876559503360,0.17159,3509357129,4142010112,0.15788001,0.50379,4142010112,2.605,730.23035,0.035,64.93,72.32,0.32339644,21.0,1730160000,NSI,EQUITY,INFY.NS,INFOSYS LIMITED,Infosys Limited,1902.25,2330.0,1530.0,2029.0,2110.0,2.09302,buy,43,3488000000,0.842,4337999872,1051000000,1.891,2.193,18836000768,9.697,4.55,0.15253,0.31404,2286749952,3671000064,0.042,0.037,0.29518,0.23030001,0.21945
SBIN.NS,,Banks - Regional,Financial Services,232296,6,8,1,4,5,86400,2,780.75,786.0,784.05,819.95,780.75,786.0,784.05,819.95,13.7,0.0175,1716336000,0.1709,1.39,0.76,10.177725,9.798222,20663641,20663641,14919727,15042714,15042714,7282935988224,560.35,912.0,2.167362,805.916,807.1045,13.7,0.01754723,9977454395392,0.21295,3749854196,8924619776,0.58239,0.27125,8924619776,518.846,1.5728173,0.229,80.18,82.67,0.45632195,13.7,1716336000,NSI,EQUITY,SBIN.NS,STATE BANK OF INDIA,State Bank of India,816.05,1102.0,690.0,957.87805,990.0,1.85366,buy,41,3549721001984,397.745,,6066625052672,,,3360276873216,,376.517,0.01121,0.16746001,,-4326515802112,0.229,0.05,,,0.32476002
ITC.NS,,Tobacco,Consumer Defensive,37312,3,6,8,5,7,86400,2,457.15,456.2,455.5,476.5,457.15,456.2,455.5,476.5,15.0,0.0328,1717459200,0.83739996,4.03,0.241,28.924437,24.989773,19461932,19461932,11511997,10913482,10913482,5938251038720,399.35,528.5,7.903414,491.933,458.87424,7.5,0.016405994,5756819603456,0.27337998,9137953176,12510799872,0.28083,0.46502,12677499904,60.148,7.891368,0.019,16.41,18.95,0.08417082,7.5,1717459200,NSI,EQUITY,ITC.NS,ITC LTD,ITC Limited,474.65,595.0,420.0,541.2,540.0,1.6,buy,35,190998691840,15.263,264712994816,3043399936,1.667,3.052,751352676352,0.402,60.164,0.17,0.28645,96529309696,161626603520,0.018,0.167,0.58748,0.35232,0.301
HINDUNILVR.NS,,Household & Personal Products,Consumer Defensive,19427,4,4,4,8,3,86400,2,2382.8,2390.95,2377.85,2452.1,2382.8,2390.95,2377.85,2452.1,43.0,0.018,1730851200,0.96089995,1.43,0.147,56.070854,47.977726,1696228,1696228,1710285,1500136,1500136,5746410913792,2172.05,3035.0,9.207517,2686.203,2537.8604,43.0,0.018045995,5633629749248,0.16452,873352575,2349590016,0.62259,0.18645,2350030080,216.156,11.312431,-0.024,43.61,,-0.027810931,10.0,1730851200,NSI,EQUITY,HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Hindustan Unilever Limited,2445.25,3400.0,2110.0,2878.282,2900.0,2.20513,buy,39,128999997440,54.916,142339997696,16510000128,1.157,1.644,624099983360,3.238,265.67,0.10564999,0.20233999,74808745984,117009997824,-0.024,0.019,0.51583,0.22806999,0.21694
LICI.NS,,Insurance - Life,Financial Services,98661,,,,,,86400,2,881.95,884.0,879.0,895.0,881.95,884.0,879.0,895.0,13.0,0.0143,1721347200,0.1523,,0.522,13.555318,12.516722,946538,946538,1167859,1260507,1260507,5627999944704,667.15,1222.0,0.6487202,950.483,1001.3137,,,5310828249088,0.05431,221374920,6325000192,0.965,0.0108,6327150080,130.825,6.7991595,0.6,65.62,60.52,0.31262445,6.0,1721347200,NSI,EQUITY,LICI.NS,LIFE INSURA CORP OF INDIA,Life Insurance Corporation of India,889.5,1385.0,870.0,1162.3889,1196.5,1.83333,buy,18,437919514624,69.236,515563913216,11200000,,,8675542958080,0.001,1254.09,,,,,0.095,0.101,0.10604999,0.05943,0.06021
