Symbol,Market Cap,industry,sector,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,profitMargins,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,shortName,longName,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins
RELIANCE.NS,,Oil & Gas Refining & Marketing,Energy,347362,9,9,7,1,9,86400,2,1309.15,1317.0,1307.0,1326.8,1309.15,1317.0,1307.0,1326.8,5.0,0.0038,1724025600,0.0996,0.44,0.635,26.392103,20.766403,16866535,16866535,15921104,15676340,15676340,17907425738752,1203.15,1608.8,1.9360677,1342.4785,1445.0464,10.0,0.007638544,20682773626880,0.07343,6178648529,13532399616,0.49667,0.27124,13532399616,605.573,2.185203,-0.048,50.14,71.85,0.06387389,10.0,1724025600,NSI,EQUITY,RELIANCE.NS,RELIANCE INDUSTRIES LTD,Reliance Industries Limited,1323.3,1950.0,1300.0,1603.6389,1628.75,1.83784,buy,36,2147900063744,158.729,1562509967360,3575249895424,0.553,1.081,9249379844096,37.464,683.526,0.03875,0.08479,-416127483904,1797530058752,-0.048,-0.002,0.34339002,0.16893,0.11306
TCS.NS,,Information Technology Services,Technology,612724,1,7,1,8,3,86400,2,4276.65,4314.35,4265.45,4325.0,4276.65,4314.35,4265.45,4325.0,40.0,0.0094,1729209600,0.42810002,1.28,0.518,32.878048,27.786411,2010785,2010785,2276550,2352875,2352875,15567737061376,3525.15,4592.25,6.259846,4162.064,4096.6445,57.0,0.013328189,15189446492160,0.19076,1002644413,3618089984,0.71783996,0.16509001,3618089984,280.521,15.338424,0.05,130.87,154.68,0.18660688,10.0,1729209600,NSI,EQUITY,TCS.NS,TATA CONSULTANCY SERV LT,Tata Consultancy Services Limited,4302.75,5710.0,3050.0,4508.0454,4517.5,2.30233,buy,44,477630005248,132.012,651870011392,90469998592,2.362,2.618,2486920019968,8.836,685.788,0.24511999,0.46772,306369986560,443359985664,0.062,0.077,0.39264,0.26212,0.24067
HDFCBANK.NS,,Banks - Regional,Financial Services,206758,,,,,,86400,2,1804.7,1822.7,1816.1,1837.4,1804.7,1822.7,1816.1,1837.4,19.5,0.0108,1715299200,0.2152,0.67,0.833,20.694618,16.423561,21704088,21704088,18529946,37853445,37853445,13961808314368,1363.55,1837.4,5.056682,1726.976,1605.728,,,18063619522560,0.25056,7578068585,7644859904,0.01671,0.51678,7644859904,632.437,2.8877184,0.398,88.25,96.36,0.10867429,19.5,1715299200,NSI,EQUITY,HDFCBANK.NS,HDFC BANK LTD,HDFC Bank Limited,1826.3,2550.0,1554.0,1946.4897,1950.0,1.48718,strong_buy,39,2663853850624,349.683,,6660388552704,,,2761061040128,,363.255,0.01712,0.1153,,-1467762343936,0.39,0.63,,,0.32936
BHARTIARTL.NS,,Telecom Services,Communication Services,24893,3,2,6,5,2,86400,2,1643.6,1652.9,1613.15,1652.9,1643.6,1652.9,1613.15,1652.9,8.0,0.0049,1722988800,0.3868,0.8,0.291,78.24964,33.861366,9130522,9130522,5608199,7076099,7076099,9696205340672,960.0,1779.0,6.236372,1637.398,1446.2115,8.0,0.004867364,11739110309888,0.0789,2563438641,5691039744,0.55272996,0.31293,5983280128,150.527,10.765843,1.68,20.71,,0.6043731,8.0,1722988800,NSI,EQUITY,BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Bharti Airtel Limited,1620.55,2070.0,1120.0,1778.75,1836.0,1.61111,buy,36,125100998656,21.621,722990989312,2255408070656,0.118,0.359,1554783010816,204.474,270.184,0.0544,0.12929,39372623872,856934973440,1.597,0.12,0.63526,0.46501,0.26152
ICICIBANK.NS,,Banks - Regional,Financial Services,187765,2,1,7,1,1,86400,2,1304.65,1303.95,1296.1,1312.8,1304.65,1303.95,1296.1,1312.8,10.0,0.0077,1723420800,0.1512,0.99,0.829,19.77929,17.79445,11509114,11509114,13882232,14318390,14318390,9232829120512,970.15,1362.35,5.6348963,1272.196,1184.939,,,9930244358144,0.28909,7019272418,7056580096,0.02172,0.54587,7056580096,397.441,3.2920609,0.188,66.15,37.94,0.30042362,10.0,1723420800,NSI,EQUITY,ICICIBANK.NS,ICICI BANK LTD.,ICICI Bank Limited,1308.4,1650.0,1170.0,1465.225,1465.0,1.325,strong_buy,40,1643846303744,233.261,,2197605449728,,,1638509182976,,233.246,0.02158,0.18731001,,-23252623360,0.182,0.274,,,0.37491
INFY.NS,,Information Technology Services,Technology,317788,7,5,4,1,4,86400,2,1879.8,1887.0,1871.15,1899.75,1879.8,1887.0,1871.15,1899.75,41.0,0.0218,1730160000,0.5924,2.13,0.626,29.091328,26.219688,4715737,4715737,5880557,6339048,6339048,7837097394176,1358.35,1991.45,416.07013,1872.626,1689.686,0.49,0.000260666,7834518945792,0.17159,3509357129,4142010112,0.15784,0.50438,4142010112,2.605,726.334,0.035,65.04,72.32,0.27504575,21.0,1730160000,NSI,EQUITY,INFY.NS,INFOSYS LIMITED,Infosys Limited,1892.1,2330.0,1530.0,2040.5952,2116.0,2.11905,buy,42,3488000000,0.842,4337999872,1051000000,1.891,2.193,18836000768,9.697,4.55,0.15253,0.31404,2286749952,3671000064,0.042,0.037,0.29518,0.23030001,0.21945
SBIN.NS,,Banks - Regional,Financial Services,232296,6,8,1,4,5,86400,2,836.4,838.0,836.9,856.6,836.4,838.0,836.9,856.6,13.7,0.0164,1716336000,0.1709,1.39,0.76,10.646428,10.253283,12183034,12183034,15077793,15056912,15056912,7621179342848,600.65,912.0,2.2680213,811.865,809.4387,13.7,0.016379721,10315697750016,0.21295,3749854196,8924619776,0.58242,0.27363002,8924619776,518.846,1.6458641,0.229,80.21,82.67,0.37464046,13.7,1716336000,NSI,EQUITY,SBIN.NS,STATE BANK OF INDIA,State Bank of India,853.95,1102.0,690.0,957.87805,990.0,1.85366,buy,41,3549721001984,397.745,,6066625052672,,,3360276873216,,376.517,0.01121,0.16746001,,-4326515802112,0.229,0.05,,,0.32476002
ITC.NS,,Tobacco,Consumer Defensive,37312,3,6,8,5,6,86400,2,477.2,466.0,462.75,473.4,477.2,466.0,462.75,473.4,15.0,0.031400003,1717459200,0.83739996,4.04,0.241,28.778927,24.87921,22214135,22214135,11266362,11290940,11290940,5911978442752,399.35,528.5,7.868447,487.809,460.894,7.5,0.01571668,5730541240320,0.27337998,9137953176,12510799872,0.28409,0.46462002,12677499904,60.148,7.856454,0.019,16.42,18.95,0.03011334,7.5,1717459200,NSI,EQUITY,ITC.NS,ITC LTD,ITC Limited,472.55,595.0,420.0,540.9143,540.0,1.6,buy,35,190998691840,15.263,264712994816,3043399936,1.667,3.052,751352676352,0.402,60.164,0.17,0.28645,96529309696,161626603520,0.018,0.167,0.58748,0.35232,0.301
HINDUNILVR.NS,,Household & Personal Products,Consumer Defensive,19427,3,4,4,8,3,86400,2,2479.15,2480.0,2466.0,2491.45,2479.15,2480.0,2466.0,2491.45,43.0,0.0173,1730851200,0.96089995,1.44,0.147,56.906944,48.69401,1641464,1641464,1711090,1751452,1751452,5834499162112,2172.05,3035.0,9.348661,2633.017,2540.2207,43.0,0.017344655,5721953927168,0.16452,873352575,2349590016,0.62259,0.18573,2349920000,216.156,11.486381,-0.024,43.63,,-0.03446734,10.0,1730851200,NSI,EQUITY,HINDUNILVR.NS,HINDUSTAN UNILEVER LTD.,Hindustan Unilever Limited,2482.85,3400.0,2057.0,2863.6924,2870.0,2.10256,buy,39,128999997440,54.916,142339997696,16510000128,1.157,1.644,624099983360,3.238,265.67,0.10564999,0.20233999,74808745984,117009997824,-0.024,0.019,0.51583,0.22806999,0.21694
LICI.NS,,Insurance - Life,Financial Services,98661,,,,,,86400,2,983.8,990.0,966.2,995.0,983.8,990.0,966.2,995.0,13.0,0.0143,1721347200,0.1523,,0.522,14.778268,13.646611,1654611,1654611,1274025,2034397,2034397,6133668904960,714.0,1222.0,0.70700693,940.978,998.02625,,,5310828249088,0.05431,221374920,6325000192,0.965,0.0108,6331400192,130.825,7.4125743,0.6,65.62,60.52,0.3187667,6.0,1721347200,NSI,EQUITY,LICI.NS,LIFE INSURA CORP OF INDIA,Life Insurance Corporation of India,969.75,1385.0,870.0,1162.3889,1196.5,1.83333,buy,18,437919514624,69.236,515563913216,11200000,,,8675542958080,0.001,1254.09,,,,,0.095,0.101,0.10604999,0.05943,0.06021
