Symbol,Yearly_Change,Avg_Month_Change,Avg_Month_Volatile
ARIHANTCAP.NS,26.74,2.23,28.43
ARIHANTSUP.NS,55.65,4.64,29.76
ARKADE.NS,7.83,2.61,24.79
ARMANFIN.NS,-58.44,-4.87,20.33
AROGRANITE.NS,-5.68,-0.47,23.75
ARROWGREEN.NS,60.68,5.06,27.29
ARSHIYA.NS,-62.28,-5.19,33.39
ARSSINFRA.NS,20.95,1.75,28.61
ARTEMISMED.NS,67.26,5.6,23.05
ARTNIRMAN.NS,31.9,2.66,35.43
ARVEE.NS,10.0,0.83,34.32
ARVIND.NS,45.21,3.77,20.98
ARVINDFASN.NS,19.43,1.62,21.07
ARVSMART.NS,70.34,5.86,27.15
ASAHIINDIA.NS,26.11,2.18,18.93
ASAHISONG.NS,12.6,1.05,24.72
ASAL.NS,49.25,4.11,32.88
ASALCBR.NS,83.37,6.95,26.92
ASHAPURMIN.NS,4.46,0.37,31.91
ASHIANA.NS,25.5,2.13,22.98
ASHIMASYN.NS,70.83,5.9,37.38
ASHOKA.NS,70.66,5.89,27.43
ASHOKAMET.NS,-43.42,-3.62,33.31
ASHOKLEY.NS,13.24,1.1,15.47
ASIANENE.NS,28.75,2.4,28.17
ASIANHOTNR.NS,0.78,0.06,25.69
ASIANPAINT.NS,-39.56,-3.3,10.76
ASIANTILES.NS,-6.99,-0.58,24.06
ASKAUTOLTD.NS,45.33,3.78,18.73
ASMS.NS,22.78,1.9,31.42
ASPINWALL.NS,16.85,1.4,23.65
ASTEC.NS,-0.25,-0.02,20.5
ASTERDM.NS,10.96,0.91,19.7
ASTRAL.NS,-11.94,-0.99,14.07
ASTRAMICRO.NS,22.42,1.87,22.22
ASTRAZEN.NS,25.31,2.11,22.52
ASTRON.NS,-53.1,-4.43,28.28
ATALREAL.NS,5.74,0.48,32.84
ATAM.NS,-48.15,-4.01,22.9
ATFL.NS,13.0,1.08,23.08
ATGL.NS,-46.74,-3.89,23.2
ATL.NS,-26.42,-2.2,23.06
ATLANTAA.NS,79.62,6.64,30.46
ATUL.NS,-4.61,-0.38,13.26
ATULAUTO.NS,-19.78,-1.65,22.46
AUBANK.NS,-37.13,-3.09,15.16
AURIONPRO.NS,45.69,3.81,27.48
AUROPHARMA.NS,10.37,0.86,13.58
AURUM.NS,44.53,3.71,21.99
AUSOMENT.NS,42.65,3.55,31.31
AUTOAXLES.NS,-19.78,-1.65,12.57
AUTOIND.NS,-23.56,-1.96,24.03
AVADHSUGAR.NS,-16.13,-1.34,24.36
AVALON.NS,69.44,5.79,24.41
AVANTEL.NS,-24.41,-4.88,20.04
AVANTIFEED.NS,35.81,2.98,22.42
AVG.NS,1.93,0.16,28.93
AVL.NS,10.21,10.21,17.77
AVONMORE.NS,64.19,5.35,33.24
AVROIND.NS,59.2,4.93,32.92
AVTNPL.NS,-23.76,-1.98,18.53
AWFIS.NS,56.48,8.07,34.83
AWHCL.NS,37.97,3.16,26.04
AWL.NS,-28.9,-2.41,16.48
AXISBANK.NS,-5.11,-0.42,11.55
AXISCADES.NS,0.48,0.04,32.5
AXITA.NS,-52.5,-4.38,19.95
AYMSYNTEX.NS,141.8,11.82,31.39
AZAD.NS,88.66,7.39,27.17
BAFNAPH.NS,-18.66,-1.56,16.72
BAGFILMS.NS,29.03,2.42,36.98
BAIDFIN.NS,-43.17,-3.6,28.55
BAJAJ-AUTO.NS,26.15,2.18,14.43
BAJAJCON.NS,-12.58,-1.05,17.05
BAJAJELEC.NS,-27.49,-2.29,15.25
