Symbol,Yearly_Change,Avg_Month_Change,Avg_Month_Volatile
ARIHANTCAP.NS,26.96,2.25,28.43
ARIHANTSUP.NS,56.99,4.75,29.76
ARKADE.NS,7.13,2.37,24.79
ARMANFIN.NS,-57.99,-4.83,20.33
AROGRANITE.NS,-5.72,-0.48,23.75
ARROWGREEN.NS,61.32,5.11,27.29
ARSHIYA.NS,-62.28,-5.19,33.39
ARSSINFRA.NS,20.95,1.75,28.61
ARTEMISMED.NS,66.82,5.57,23.05
ARTNIRMAN.NS,33.31,2.78,35.43
ARVEE.NS,9.93,0.83,34.32
ARVIND.NS,45.66,3.81,20.98
ARVINDFASN.NS,20.1,1.67,21.07
ARVSMART.NS,70.46,5.87,27.15
ASAHIINDIA.NS,25.82,2.15,18.93
ASAHISONG.NS,14.48,1.21,24.72
ASAL.NS,49.37,4.12,32.88
ASALCBR.NS,83.39,6.95,26.92
ASHAPURMIN.NS,4.41,0.37,31.91
ASHIANA.NS,26.55,2.21,22.98
ASHIMASYN.NS,70.83,5.9,37.38
ASHOKA.NS,69.82,5.82,27.43
ASHOKAMET.NS,-42.12,-3.51,33.31
ASHOKLEY.NS,13.33,1.11,15.47
ASIANENE.NS,29.68,2.47,28.17
ASIANHOTNR.NS,1.16,0.1,25.69
ASIANPAINT.NS,-39.66,-3.31,10.76
ASIANTILES.NS,-7.67,-0.64,24.06
ASKAUTOLTD.NS,44.97,3.75,18.73
ASMS.NS,23.14,1.93,31.42
ASPINWALL.NS,15.78,1.32,23.65
ASTEC.NS,-0.26,-0.02,20.5
ASTERDM.NS,10.81,0.9,19.7
ASTRAL.NS,-12.19,-1.01,14.07
ASTRAMICRO.NS,22.14,1.84,22.22
ASTRAZEN.NS,25.16,2.1,22.52
ASTRON.NS,-53.1,-4.43,28.28
ATALREAL.NS,5.12,0.43,32.84
ATAM.NS,-48.56,-4.05,22.9
ATFL.NS,12.67,1.05,23.08
ATGL.NS,-46.78,-3.9,23.2
ATL.NS,-22.89,-1.91,23.06
ATLANTAA.NS,79.01,6.58,30.46
ATUL.NS,-4.93,-0.41,13.26
ATULAUTO.NS,-18.96,-1.58,22.46
AUBANK.NS,-36.81,-3.07,15.16
AURIONPRO.NS,46.8,3.9,27.48
AUROPHARMA.NS,10.31,0.86,13.58
AURUM.NS,46.25,3.86,21.99
AUSOMENT.NS,42.65,3.55,31.31
AUTOAXLES.NS,-19.99,-1.66,12.57
AUTOIND.NS,-24.28,-2.02,24.03
AVADHSUGAR.NS,-15.97,-1.33,24.36
AVALON.NS,69.28,5.77,24.41
AVANTEL.NS,-24.26,-4.85,20.04
AVANTIFEED.NS,35.24,2.94,22.42
AVG.NS,2.5,0.21,28.93
AVL.NS,10.74,10.74,17.77
AVONMORE.NS,64.47,5.37,33.24
AVROIND.NS,59.2,4.93,32.92
AVTNPL.NS,-23.94,-2.0,18.53
AWFIS.NS,56.16,8.02,34.83
AWHCL.NS,37.92,3.16,26.04
AWL.NS,-28.66,-2.39,16.48
AXISBANK.NS,-5.27,-0.44,11.55
AXISCADES.NS,-0.15,-0.01,32.5
AXITA.NS,-52.58,-4.38,19.95
AYMSYNTEX.NS,144.23,12.02,31.39
AZAD.NS,89.57,7.46,27.17
BAFNAPH.NS,-18.66,-1.56,16.72
BAGFILMS.NS,29.33,2.44,36.98
BAIDFIN.NS,-41.98,-3.5,28.55
BAJAJ-AUTO.NS,26.51,2.21,14.43
BAJAJCON.NS,-12.68,-1.06,17.05
BAJAJELEC.NS,-25.94,-2.16,15.25
BAJAJFINSV.NS,-11.57,-0.96,11.9
BAJAJHCARE.NS,31.51,2.63,25.44
BAJAJHFL.NS,-20.01,-6.67,18.46
BAJAJHIND.NS,10.49,0.87,28.89
BAJAJHLDNG.NS,31.57,2.63,12.9
BAJEL.NS,75.32,6.28,32.08
BAJFINANCE.NS,-10.21,-0.85,12.88
BALAJEE.NS,-14.83,-4.95,15.72
BALAJITELE.NS,22.59,1.88,31.92
BALAMINES.NS,-30.53,-2.54,16.81
BALAXI.NS,-8.37,-0.7,28.12
BALKRISHNA.NS,-10.32,-0.86,28.83
BALKRISIND.NS,8.91,0.74,14.39
BALMLAWRIE.NS,-4.17,-0.35,22.15
BALPHARMA.NS,16.39,1.37,24.26
BALRAMCHIN.NS,26.93,2.24,18.26
BALUFORGE.NS,114.17,14.27,39.59
BANARBEADS.NS,28.81,2.4,23.48
BANARISUG.NS,35.16,2.93,19.38
BANCOINDIA.NS,51.77,4.31,25.32
BANDHANBNK.NS,-45.44,-3.79,17.71
BANG.NS,72.72,6.06,31.06
BANKA.NS,18.86,1.57,31.9
BANKBARODA.NS,-5.61,-0.47,15.2
BANKINDIA.NS,-10.75,-0.9,18.56
BANSALWIRE.NS,18.95,3.79,20.26
BANSWRAS.NS,-0.78,-0.07,18.84
BARBEQUE.NS,-35.63,-2.97,19.75
BASF.NS,66.37,5.53,24.68
BASML.NS,16.06,1.34,27.19
BATAINDIA.NS,-23.58,-1.96,11.3
BAYERCROP.NS,6.12,0.51,15.96
BBL.NS,43.09,3.59,28.38
BBOX.NS,80.76,6.73,28.11
BBTC.NS,38.75,3.23,22.16
BBTCL.NS,-37.92,-3.16,13.0
BCG.NS,-52.06,-4.34,27.67
BCLIND.NS,-28.14,-2.34,23.78
BCONCEPTS.NS,-62.96,-5.25,25.68
BDL.NS,44.34,3.69,28.9
BEARDSELL.NS,-18.47,-1.54,29.17
BECTORFOOD.NS,39.71,3.31,21.84
BEDMUTHA.NS,24.03,2.0,32.35
BEL.NS,35.02,2.92,19.48
BEML.NS,31.16,2.6,29.29
BEPL.NS,36.99,3.08,24.67
BERGEPAINT.NS,-24.75,-2.06,14.2
BESTAGRO.NS,-14.36,-1.59,23.51
BFINVEST.NS,24.37,2.03,24.25
BFUTILITIE.NS,61.02,5.08,30.09
BGLOBAL.NS,29.67,2.47,17.44
BGRENERGY.NS,58.7,4.89,48.2
BHAGCHEM.NS,76.75,6.4,28.65
BHAGERIA.NS,21.25,1.77,26.73
BHAGYANGR.NS,-24.6,-2.05,24.26
BHANDARI.NS,24.15,2.01,28.82
BHARATFORG.NS,-1.73,-0.14,17.54
BHARATGEAR.NS,-21.73,-1.81,15.51
BHARATRAS.NS,7.42,0.62,20.11
BHARATWIRE.NS,-35.84,-2.99,23.64
