Date,Close,High,Low,Open,Volume,Month_Change,Month_Volatile,Yearly_Change,Symbol
,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,20MICRONS.NS,,,,
2024-05-01,515.9,561.95,499.5,533.65,930967,-3.33,12.5,-10.6,5PAISA.NS
2024-06-01,513.0,547.7,475.0,522.0,830118,-1.72,15.31,-12.33,5PAISA.NS
2024-07-01,491.45,548.0,458.0,516.0,3704809,-4.76,19.65,-17.09,5PAISA.NS
2024-08-01,531.9,546.1,460.0,496.0,2393716,7.24,18.72,-9.85,5PAISA.NS
2024-09-01,538.45,575.5,502.15,535.0,2110929,0.64,14.61,-9.2,5PAISA.NS
2024-10-01,513.75,607.05,480.0,541.0,5526337,-5.04,26.47,-14.24,5PAISA.NS
2024-11-01,491.65,525.0,466.0,525.0,626240,-6.35,12.66,-20.59,5PAISA.NS
2024-12-01,475.9,519.0,470.0,495.0,520859,-3.86,10.43,-24.45,5PAISA.NS
2024-01-01,420.28,482.26,390.09,475.84,1857441,-11.68,23.63,-11.68,63MOONS.NS
2024-02-01,471.91,549.86,412.87,424.81,3276930,11.09,33.18,-0.59,63MOONS.NS
2024-03-01,379.64,492.46,363.13,472.81,1682778,-19.71,35.62,-20.29,63MOONS.NS
2024-04-01,428.74,461.32,377.9,387.8,2811235,10.56,22.07,-9.74,63MOONS.NS
2024-05-01,330.3,440.72,319.5,431.77,2656106,-23.5,37.94,-33.24,63MOONS.NS
2024-06-01,365.21,392.18,313.03,345.22,2171542,5.79,25.29,-27.45,63MOONS.NS
2024-07-01,390.68,390.68,314.38,366.16,3031219,6.7,24.27,-20.75,63MOONS.NS
2024-08-01,325.22,410.18,316.37,397.95,4543514,-18.28,29.65,-39.03,63MOONS.NS
2024-09-01,386.7,446.69,338.3,341.44,6374125,13.26,32.04,-25.77,63MOONS.NS
2024-10-01,572.75,572.75,351.0,388.7,18739068,47.35,63.18,21.58,63MOONS.NS
2024-11-01,663.05,663.05,550.65,596.0,10111097,11.25,20.41,32.83,63MOONS.NS
2024-12-01,980.1,1078.8,647.05,687.0,14225168,42.66,66.73,75.49,63MOONS.NS
2024-01-01,13.85,15.15,12.25,12.25,7639791,13.06,23.67,13.06,A2ZINFRA.NS
2024-02-01,16.1,16.7,12.35,13.8,5704071,16.67,35.22,29.73,A2ZINFRA.NS
2024-03-01,13.5,15.8,12.3,15.8,1611141,-14.56,28.46,15.17,A2ZINFRA.NS
2024-04-01,14.75,15.45,12.4,13.75,6690056,7.27,24.6,22.44,A2ZINFRA.NS
2024-05-01,18.3,18.3,13.25,14.75,8534424,24.07,38.11,46.51,A2ZINFRA.NS
2024-06-01,21.96,24.57,18.25,19.2,15185612,14.38,34.63,60.89,A2ZINFRA.NS
2024-07-01,20.5,21.6,18.24,21.52,2671915,-4.74,18.42,56.15,A2ZINFRA.NS
2024-08-01,17.77,20.68,15.73,20.09,4389224,-11.55,31.47,44.6,A2ZINFRA.NS
2024-09-01,18.04,18.83,15.87,17.41,2043062,3.62,18.65,48.22,A2ZINFRA.NS
2024-10-01,16.96,20.61,15.75,17.4,7591286,-2.53,30.86,45.69,A2ZINFRA.NS
2024-11-01,17.07,20.5,15.95,17.74,8226507,-3.78,28.53,41.91,A2ZINFRA.NS
2024-12-01,21.97,23.27,16.23,17.48,17071257,25.69,43.38,67.6,A2ZINFRA.NS
2024-01-01,94.75,107.6,82.75,82.75,3048738,14.5,30.03,14.5,AAATECH.NS
2024-02-01,102.72,107.7,84.89,92.86,773856,10.62,26.87,25.12,AAATECH.NS
2024-03-01,81.6,107.5,80.95,105.71,352628,-22.81,32.8,2.31,AAATECH.NS
2024-04-01,132.46,146.46,81.3,81.3,5712887,62.93,80.15,65.24,AAATECH.NS
